、 每片
。 春天
。 春天
。 轻快
。 春姑
。 树爷
。 时而
。 农夫
。 春雨
。 春雨
。 春雨
“春 之
！ 它落
！ 春天
， 是美
， 是变
， 是柔
， 她饱
， 悄悄
， 送来
， 逗笑
， 唤醒
， 吹绿
， 吹艳
， 大自
， 红的
， 白的
， 黄的
， 构成
， 散发
， 它把
， 让娇
， 换上
， 跟春
， 这时
， 树爷
， 都渗
， 春风
， 小动
， 春雨
， 拨动
， 叮叮
， 打起
， 敲响
， 在叶
， 弹出
， 它蕴
， 蕴含
， 蕴含
， 多么
， 我赞
把每 一
把小 草
白的 娇
摆动 几
斑斓 的
般的 手
饱含 着
被春 风
奔跑 着
变幻 莫
冰冻 的
拨动 了
彩斑 斓
彩缤 纷
草吹 绿
测的 。
成了 花
成了 一
成一 口
出来 。
出了 春
出沁 人
吹得 暖
吹绿 了
吹绿 了
吹艳 了
春的 活
春风 那
春风 吹
春风 撒
春姑 娘
春姑 娘
春姑 娘
春姑 娘
春姑 娘
春天 的
春天 ，
春天 ，
春天 的
春天 ，
春天 ，
春天 ，
春雨 来
春之 舞
春装 。
慈母 般
从土 里
丛里 ，
打起 了
打招 呼
大地 ，
大地 ，
大自 然
弹出 了
到了 人
得暖 洋
的“ 春
的春 装
的芳 香
的风 ，
的花 ，
的花 …
的画 ，
的活 力
的娇 ，
的开 始
的每 根
的嫩 ，
的气 息
的生 命
的世 界
的世 界
的手 抚
的未 来
的小 河
的小 动
的小 芽
的小 提
的小 腰
的小 铜
的小 潭
的艳 ，
的阳 光
的云 ，
的种 子
地奔 跑
地来 到
叮叮 咚
叮咚 咚
冬眠 的
动几 下
动了 春
动物 ，
动物 们
冻的 小
逗笑 了
都散 发
都渗 透
多么 美
朵上 ，
而摆 动
而工 作
而挥 舞
发出 沁
发着 春
芳香 。
纷的 画
风吹 得
风那 慈
风撒 下
夫们 在
幅五 彩
抚摸 着
个角 落
根树 枝
跟春 姑
工作 。
构成 了
姑娘 把
姑娘 打
姑娘 的
姑娘 的
姑娘 的
姑娘 的
含着 温
含着 新
含着 新
含着 新
好的 未
好呀 ！
和温 暖
红的 艳
乎成 了
湖面 上
花… …
花的 世
花朵 上
换上 绿
唤醒 了
幻莫 测
黄的 嫩
挥舞 几
汇成 一
活力 ，
几乎 成
几下 树
几下 树
娇嫩 的
角落 都
开始 ，
口小 巧
快地 奔
来到 了
来而 工
来了 温
来了 ！
里钻 出
丽迷 人
了冰 冻
了春 姑
了春 姑
了春 姑
了春 姑
了大 地
了冬 眠
了花 的
了人 间
了温 暖
了五 彩
了一 幅
玲珑 的
绿了 大
绿了 ，
绿色 的
落都 散
落在 湖
落在 屋
落在 树
落在 花
么美 好
每根 树
每片 树
每一 个
美好 的
美好 呀
美丽 迷
美你 ！
们被 春
们在 春
迷人 的
眠的 小
面上 ，
摸着 大
莫测 的
母般 的
那慈 母
嫩的 小
娘把 每
娘打 招
娘的 小
娘的 小
娘的 小
娘的 “
暖的 。
暖的 阳
暖洋 洋
跑着 ，
脾的 芳
片树 叶
起了 春
气息 ，
敲响 了
悄地 来
悄悄 地
巧玲 珑
沁人 心
青春 的
然几 乎
让娇 嫩
人的 。
人间 。
人心 脾
柔和 温
撒下 的
散发 出
散发 着
色的 春
上绿 色
渗透 着
生命 ，
时而 摆
世界 ，
世界 ！
是变 幻
是美 丽
是柔 和
手抚 摸
树丛 里
树梢 ，
树爷 爷
树叶 ，
树枝 ，
树枝 、
送来 了
它把 小
它落 在
它蕴 含
她饱 含
提琴 。
天的 花
天的 云
天的 风
天的 气
铜锣 ，
透着 青
土里 钻
为美 好
未来 而
温暖 的
温暖 的
温情 ，
我赞 美
屋檐 下
五彩 斑
五彩 缤
舞” 。
舞几 下
物们 被
下的 种
下树 枝
下树 梢
响了 春
小草 吹
小动 物
小动 物
小河 ，
小巧 玲
小潭 。
小提 琴
小铜 锣
小芽 从
小腰 鼓
笑了 冰
新的 开
新的 生
新的 世
心汇 成
心脾 的
醒了 冬
芽从 土
艳了 五
洋的 。
洋洋 的
阳光 ，
腰鼓 。
爷的 每
爷时 而
爷爷 时
爷爷 的
叶心 汇
一幅 五
一个 角
一口 小
雨来 了
雨落 在
雨落 在
雨落 在
蕴含 着
蕴含 着
蕴含 着
在春 风
在湖 面
在花 朵
在树 丛
在屋 檐
在叶 心
赞美 你
招呼 ，
这时 ，
之舞 ”
种子 为
着春 天
着大 地
着青 春
着温 情
着新 的
着新 的
着新 的
子为 美
自然 几
钻出 来
咚咚 ，
缤纷 的
珑的 小
檐下 ，
斓的 花
。 嫩绿
， 大地
， 陶醉
碧绿 的
草从 地
出头 来
穿上 了
春天 来
春天 里
从地 下
大地 妈
的春 天
的小 草
的衣 服
地妈 妈
地下 探
来了 ，
丽的 春
了碧 绿
绿的 衣
绿的 小
妈穿 上
妈妈 穿
美丽 的
嫩绿 的
上了 碧
探出 头
陶醉 在
天来 了
天里 。
头来 ，
下探 出
小草 从
衣服 。
在美 丽
醉在 美
。 山朗
。 园子
。 坐着
。 风轻
。 红的
。 花里
。 花下
。 野花
， 东风
， 春天
， 欣欣
， 水涨
， 太阳
， 嫩嫩
， 绿绿
， 田野
， 瞧去
， 一大
， 躺着
， 打两
， 踢几
， 赛几
， 捉几
， 草软
， 杏树
， 梨树
， 你不
， 我不
， 都开
， 粉的
， 白的
， 树上
， 杏儿
， 梨儿
， 大小
， 有名
， 没名
， 散在
， 还眨
： 杂样
； 闭了
白的 像
百的 蜜
闭了 眼
遍地 是
不让 我
不让 你
步近 了
草丛 里
草软 绵
草偷 偷
成百 的
成千 成
出来 ，
春天 的
从土 地
丛里 像
打两 个
大片 一
大片 满
大小 的
带着 甜
的蝴 蝶
的脚 步
的脸 红
的蜜 蜂
的闹 着
的像 火
的像 霞
的像 雪
的样 子
地从 土
地里 钻
地是 ：
蝶飞 来
东风 来
都开 满
都像 刚
仿佛 已
飞来 飞
飞去 。
粉的 像
蜂嗡 嗡
风来 了
风轻 悄
佛已 经
赶趟 儿
刚睡 醒
个滚 ，
红的 像
红起 来
蝴蝶 飞
花遍 地
花赶 趟
花里 带
花下 成
还眨 呀
回迷 藏
几回 迷
几脚 球
几趟 跑
脚步 近
脚球 ，
近了 。
睛像 星
经满 是
开了 眼
开满 了
来飞 去
来了 ，
来了 ，
来了 ，
来了 。
朗润 起
梨儿 。
梨树 ，
里带 着
里像 眼
里钻 出
脸红 起
两个 滚
了花 赶
了眼 。
了眼 ，
绿的 。
绿绿 的
满了 花
满是 的
满是 桃
没名 字
迷藏 。
蜜蜂 嗡
绵的 。
绵绵 的
名字 的
名字 的
闹着 ，
嫩的 ，
嫩嫩 的
你不 让
盼望 着
片满 是
片一 大
起来 了
起来 了
起来 了
千成 百
悄的 ，
悄悄 的
瞧去 ，
切都 像
轻悄 悄
然张 开
让你 ，
让我 ，
软绵 绵
润起 来
赛几 趟
散在 草
山朗 润
上仿 佛
是的 。
是桃 儿
树上 仿
水涨 起
睡醒 的
太阳 的
躺着 ，
趟儿 。
趟跑 ，
桃儿 ，
桃树 ，
踢几 脚
天的 脚
田野 里
甜味 ；
偷地 从
偷偷 地
土地 里
望着 ，
嗡的 闹
嗡嗡 的
我不 让
下成 千
像刚 睡
像火 ，
像霞 ，
像星 星
像雪 。
像眼 睛
小草 偷
小的 蝴
欣然 张
欣欣 然
星星 ，
醒的 样
杏儿 ，
杏树 ，
呀眨 的
眼睛 像
阳的 脸
样儿 ，
样子 ，
野花 遍
野里 ，
一大 片
一大 片
一切 都
已经 满
有名 字
园子 里
杂样 儿
在草 丛
眨的 。
眨呀 眨
张开 了
涨起 来
捉几 回
着甜 味
子里 ，
字的 ，
字的 ，
钻出 来
坐着 ，
、 终生
、 惆怅
、 苦恼
、 然后
、 化合
、 更新
。 静静
。 爱情
。 一般
。 在这
。 曾经
。 天涯
。 有些
。 生命
。 生活
。 心有
。 无论
。 真正
。 那些
。 真正
。 爱情
。 一个
。 小于
。 学会
。 因为
。 谁都
。 无论
。 世界
。 足够
。 喜欢
。 爱一
。 所谓
。 陪伴
。 找一
。 学会
。 爱不
。 我不
。 相爱
。 谁也
。 执子
